AreaCode,AreaName,StartDate,EndDate,LegislationRef,GuidanceRef
E08000031,Wolverhampton,2020-09-22,,https://www.legislation.gov.uk/uksi/2020/1019,https://www.gov.uk/guidance/birmingham-sandwell-and-solihull-local-restrictions
E07000128,Wyre,2020-09-22,,https://www.legislation.gov.uk/uksi/2020/1019,https://www.gov.uk/guidance/north-west-england-local-restrictions
E06000009,Blackpool,2020-09-26,,https://www.legislation.gov.uk/uksi/2020/1041,https://www.gov.uk/guidance/north-west-england-local-restrictions
W06000010,Carmarthenshire,2020-09-26,,https://www.legislation.gov.uk/wsi/2020/1040,https://gov.wales/local-lockdown
E08000035,Leeds,2020-09-26,,https://www.legislation.gov.uk/uksi/2020/1041,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E08000007,Stockport,2020-09-26,,https://www.legislation.gov.uk/uksi/2020/1041,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E08000010,Wigan,2020-09-26,,https://www.legislation.gov.uk/uksi/2020/1041,https://www.gov.uk/guidance/greater-manchester-local-restrictions
W06000015,Cardiff,2020-09-27,,https://www.legislation.gov.uk/wsi/2020/1043,https://gov.wales/local-lockdown
W06000011,Swansea,2020-09-27,,https://www.legislation.gov.uk/wsi/2020/1043,https://gov.wales/local-lockdown
W06000012,Neath Port Talbot,2020-09-28,,https://www.legislation.gov.uk/wsi/2020/1049,https://gov.wales/local-lockdown
W06000020,Torfaen,2020-09-28,,https://www.legislation.gov.uk/wsi/2020/1049,https://gov.wales/local-lockdown
W06000014,Vale of Glamorgan,2020-09-28,,https://www.legislation.gov.uk/wsi/2020/1049,https://gov.wales/local-lockdown
W06000003,Conwy,2020-09-30,,https://www.legislation.gov.uk/wsi/2020/1066,https://gov.wales/local-lockdown
W06000004,Denbighshire,2020-09-30,,https://www.legislation.gov.uk/wsi/2020/1066,https://gov.wales/local-lockdown
W06000005,Flintshire,2020-09-30,,https://www.legislation.gov.uk/wsi/2020/1066,https://gov.wales/local-lockdown
W06000006,Wrexham,2020-09-30,,https://www.legislation.gov.uk/wsi/2020/1066,https://gov.wales/local-lockdown
E06000001,Hartlepool,2020-10-03,,https://www.legislation.gov.uk/uksi/2020/1074,https://www.gov.uk/guidance/north-east-of-england-local-restrictions
E06000002,Middlesbrough,2020-10-03,,https://www.legislation.gov.uk/uksi/2020/1074,https://www.gov.uk/guidance/north-east-of-england-local-restrictions
